dates,campaign_name,creative_name,total_spent,impressions,clicks,click_through_rate,leads,platform,adset_name,cost_per_lead,conversion_rate
5/2/2024,USP Study Abroad_Generic_240224,USP_RG_VideoAd5,201.51,152,2,1.31578947,1.0,Facebook,All India Generic Leads Ad Set_240224,201.51,50.0
5/2/2024,USP_2_Lead-gen-2_Top4-states_050424,#8 ( Graphic ) - Study In The USA,456.83,419,2,0.47732697,1.0,Facebook,USP-2_KA_TN_050424,456.83,50.0
5/2/2024,USP_2_Lead-gen-1_220124,#8 ( Graphic ) - Study In The USA,1649.23,3700,31,0.83783784,10.0,Facebook,USP-2_Data_Job-title_India_exclude_KATNTSAP,164.923,32.25806451612903
5/1/2024,USP Study Abroad_Generic_240224,USP_kavita&steffi_VideoAd6,910.18,2561,45,1.75712612,7.0,Facebook,All India Counselling Look-a-like_290224,130.0257142857143,15.555555555555555
5/1/2024,USP Study Abroad_Generic_240224,USP_S2_Faced-rejection,168.4,34,1,2.94117647,1.0,Facebook,All India Generic Leads Ad Set_240224,168.4,100.0
5/1/2024,USP Study Abroad_Generic_240224,USP_S1_We-guarantee,758.52,268,9,3.35820896,2.0,Facebook,All India Counselling Look-a-like_290224,379.26,22.22222222222222
5/1/2024,USP Study Abroad_Generic_240224,USP_S5_easy-for-you,89.78,21,2,9.52380952,1.0,Facebook,All India Counselling Look-a-like_290224,89.78,50.0
5/1/2024,USP Study Abroad_Generic_240224,USP_RG_VideoAd5,92.55,74,5,6.75675676,2.0,Facebook,All India Generic Leads Ad Set_240224,46.275,40.0
5/1/2024,USP Study Abroad_Generic_240224,USP_kavita&steffi_VideoAd6,1533.91,10398,104,1.00019234,1.0,Facebook,All India focusing on Uni Ad Set_060324,1533.91,0.9615384615384616
5/1/2024,USP Study Abroad_Generic_240224,#15 ( Graphic ) - Dual coursework_Plain,231.39,137,2,1.45985401,1.0,Facebook,All India focusing on Uni Ad Set_060324,231.39,50.0
5/1/2024,USP Study Abroad_Generic_240224,#8 ( Graphic ) - Study In The USA,1036.44,5106,41,0.80297689,2.0,Facebook,All India focusing on Uni Ad Set_060324,518.22,4.878048780487805
5/1/2024,USP Study Abroad_Generic_240224,#8 ( Graphic ) - Study In The USA,1253.03,1168,24,2.05479452,4.0,Facebook,All India Counselling Look-a-like_290224,313.2575,16.666666666666664
5/1/2024,USP Study Abroad_Generic_240224,#8 ( Graphic ) - Study In The USA,1391.79,3251,41,1.26115042,7.0,Facebook,All India Generic Leads Ad Set_240224,198.82714285714286,17.073170731707318
5/1/2024,USP Study Abroad_Generic_240224,#15 ( Graphic ) - Dual coursework_Plain,162.38,78,2,2.56410256,1.0,Facebook,All India Generic Leads Ad Set_240224,162.38,50.0
5/1/2024,USP Study Abroad_Generic_240224,USP_kavita&steffi_VideoAd6,980.98,2844,26,0.91420534,1.0,Facebook,All India Generic Leads Ad Set_240224,980.98,3.8461538461538463
5/1/2024,USP_2_Lead-gen-1_220124,#6 ( Graphic ) - Master's Degree In 12 Months,656.01,1639,21,1.28126907,6.0,Facebook,USP-2_Data_Job-title_India_exclude_KATNTSAP,109.335,28.57142857142857
5/1/2024,USP_2_Lead-gen-2_Top4-states_050424,USP_S2_Faced-rejection,297.47,2483,8,0.3221909,1.0,Facebook,USP-2_KA_TN_050424,297.47,12.5
5/1/2024,USP_2_Lead-gen-2_Top4-states_050424,#8 ( Graphic ) - Study In The USA,351.41,844,5,0.59241706,1.0,Facebook,USP-2_KA_TN_050424,351.41,20.0
